algo,job_id,worker_id,task_id,arrival_time,end_time,duration,done
RANDOM,0,1,0_M0,1606835981.113287,1606835982.114622,0,True
RANDOM,0,3,0_M2,1606835981.217191,1606835983.219257,0,True
RANDOM,1,1,1_M0,1606835982.525255,1606835983.526536,0,True
RANDOM,2,1,2_M2,1606835982.775985,1606835984.778579,0,True
RANDOM,2,2,2_M3,1606835982.827761,1606835984.829438,0,True
RANDOM,3,3,3_M0,1606835982.905347,1606835984.907249,0,True
RANDOM,0,1,0_M1,1606835981.165216,1606835985.166229,0,True
RANDOM,1,1,1_M1,1606835982.576697,1606835985.57936,0,True
RANDOM,3,2,3_M1,1606835982.957276,1606835985.959314,0,True
RANDOM,2,1,2_M0,1606835982.671919,1606835986.675314,0,True
RANDOM,5,2,5_M1,1606835985.715692,1606835986.717102,0,True
RANDOM,2,1,2_M1,1606835982.723766,1606835986.727325,0,True
RANDOM,5,1,5_M2,1606835985.767369,1606835986.768693,0,True
RANDOM,2,2,2_R0,1606835986.873947,1606835987.875269,0,True
RANDOM,3,3,3_R0,1606835986.053181,1606835988.055244,0,True
RANDOM,0,2,0_R1,1606835985.266063,1606835988.267556,0,True
RANDOM,4,3,4_M0,1606835985.360719,1606835988.363248,0,True
RANDOM,6,2,6_M0,1606835987.502648,1606835988.503297,0,True
RANDOM,6,3,6_M1,1606835987.554522,1606835988.555279,0,True
RANDOM,5,1,5_M0,1606835985.669514,1606835988.67125,0,True
RANDOM,0,2,0_R0,1606835985.265559,1606835989.267247,0,True
RANDOM,6,1,6_M2,1606835987.606363,1606835989.607248,0,True
RANDOM,6,1,6_M3,1606835987.658384,1606835989.660543,0,True
RANDOM,1,1,1_R0,1606835985.669091,1606835989.671257,0,True
RANDOM,4,3,4_R0,1606835988.504162,1606835990.506483,0,True
RANDOM,8,1,8_M0,1606835988.857414,1606835990.859256,0,True
RANDOM,7,1,7_M0,1606835988.357701,1606835991.359501,0,True
RANDOM,7,2,7_M1,1606835988.415502,1606835991.416053,0,True
RANDOM,5,3,5_R0,1606835988.769898,1606835991.771317,0,True
RANDOM,6,1,6_R1,1606835989.878036,1606835992.881242,0,True
RANDOM,7,2,7_R0,1606835991.561832,1606835993.563452,0,True
RANDOM,9,3,9_M0,1606835989.691739,1606835993.69526,0,True
RANDOM,9,1,9_M1,1606835989.846063,1606835993.847592,0,True
RANDOM,6,1,6_R0,1606835989.877696,1606835993.879283,0,True
RANDOM,8,2,8_R0,1606835990.958627,1606835993.959321,0,True
RANDOM,8,2,8_R1,1606835990.959003,1606835994.959278,0,True
RANDOM,9,3,9_R1,1606835993.938032,1606835996.939264,0,True
RANDOM,9,2,9_R0,1606835993.937641,1606835996.94087,0,True
RR,3,1,3_M0,1606837234.490693,1606837235.491246,0,True
RR,0,1,0_M0,1606837233.73677,1606837235.739125,0,True
RR,2,1,2_M1,1606837233.813544,1606837235.815259,0,True
RR,2,2,2_M2,1606837233.813974,1606837235.815258,0,True
RR,2,3,2_M3,1606837233.814348,1606837235.816917,0,True
RR,2,3,2_M0,1606837233.813123,1606837236.815247,0,True
RR,3,2,3_M1,1606837234.542149,1606837237.543277,0,True
RR,1,2,1_M0,1606837233.796727,1606837237.799302,0,True
RR,2,3,2_R0,1606837236.878315,1606837237.879283,0,True
RR,3,3,3_M2,1606837234.593814,1606837238.598327,0,True
RR,0,2,0_R0,1606837235.812389,1606837238.815285,0,True
RR,4,1,4_M0,1606837235.265547,1606837239.267477,0,True
RR,5,2,5_M1,1606837238.785056,1606837239.786519,0,True
RR,3,3,3_R0,1606837238.666701,1606837240.667257,0,True
RR,5,1,5_M0,1606837238.732988,1606837240.735259,0,True
RR,1,2,1_R1,1606837237.838671,1606837240.839286,0,True
RR,6,1,6_M0,1606837240.109213,1606837241.110538,0,True
RR,6,2,6_M1,1606837240.161036,1606837241.162352,0,True
RR,1,1,1_R0,1606837237.838318,1606837241.839283,0,True
RR,4,3,4_R0,1606837239.366615,1606837242.367462,0,True
RR,5,1,5_R1,1606837241.066927,1606837243.067278,0,True
RR,7,2,7_M1,1606837240.916532,1606837243.919292,0,True
RR,6,3,6_M2,1606837240.212854,1606837244.217126,0,True
RR,8,2,8_M0,1606837243.238015,1606837244.239259,0,True
RR,9,1,9_M0,1606837243.541567,1606837244.54232,0,True
RR,7,1,7_M0,1606837240.782369,1606837244.786693,0,True
RR,5,3,5_R0,1606837241.0666,1606837245.067248,0,True
RR,8,3,8_M1,1606837243.28988,1606837246.291273,0,True
RR,9,1,9_M2,1606837243.645635,1606837246.64746,0,True
RR,6,2,6_R0,1606837244.305197,1606837247.307493,0,True
RR,9,2,9_M1,1606837243.593397,1606837247.595253,0,True
RR,7,3,7_R0,1606837244.880774,1606837247.883836,0,True
RR,8,1,8_R0,1606837246.323153,1606837248.325462,0,True
RR,9,3,9_R0,1606837247.694347,1606837248.695634,0,True
RR,8,2,8_R1,1606837246.323153,1606837249.326508,0,True
RR,9,1,9_R1,1606837247.694526,1606837251.695283,0,True
LL,0,1,0_M0,1606837286.608816,1606837288.611239,0,True
LL,0,1,0_M1,1606837286.660679,1606837288.661512,0,True
LL,2,1,2_M0,1606837288.732654,1606837290.735048,0,True
LL,0,1,0_R0,1606837288.73348,1606837290.735304,0,True
LL,1,1,1_M0,1606837287.795968,1606837290.799318,0,True
LL,1,2,1_M1,1606837287.847723,1606837290.851118,0,True
LL,3,1,3_M1,1606837290.169889,1606837291.171328,0,True
LL,2,1,2_M1,1606837288.743583,1606837291.746969,0,True
LL,1,2,1_R0,1606837291.249341,1606837292.250735,0,True
LL,5,1,5_M0,1606837291.901858,1606837292.903272,0,True
LL,3,2,3_M0,1606837290.133424,1606837293.135292,0,True
LL,4,1,4_M3,1606837291.161599,1606837293.163261,0,True
LL,7,3,7_M0,1606837292.602741,1606837293.603251,0,True
LL,5,1,5_R0,1606837292.997172,1606837293.998561,0,True
LL,3,2,3_M2,1606837290.211824,1606837294.216278,0,True
LL,1,1,1_R1,1606837291.250225,1606837294.251254,0,True
LL,4,1,4_M0,1606837290.886647,1606837294.88725,0,True
LL,4,1,4_M1,1606837290.980079,1606837294.983308,0,True
LL,4,3,4_M2,1606837291.088724,1606837295.091463,0,True
LL,6,2,6_M1,1606837292.54022,1606837295.543251,0,True
LL,2,1,2_R0,1606837291.845916,1606837295.847308,0,True
LL,6,2,6_M0,1606837292.488435,1606837296.491475,0,True
LL,7,1,7_M1,1606837292.654702,1606837296.655382,0,True
LL,4,1,4_R0,1606837295.211281,1606837297.213573,0,True
LL,3,2,3_R0,1606837294.315625,1606837297.318951,0,True
LL,8,1,8_M1,1606837294.768816,1606837297.771252,0,True
LL,8,1,8_M0,1606837294.717288,1606837298.719451,0,True
LL,9,2,9_M0,1606837294.890089,1606837298.894355,0,True
LL,6,1,6_R0,1606837296.574994,1606837299.578335,0,True
LL,7,1,7_R0,1606837296.733597,1606837299.735476,0,True
LL,9,2,9_R0,1606837298.99337,1606837300.995412,0,True
LL,8,1,8_R0,1606837298.782866,1606837302.785874,0,True
LL,0,1,0_M1,1606837331.531936,1606837332.532394,0,True
LL,2,1,2_M2,1606837332.870492,1606837333.871906,0,True
LL,3,3,3_M0,1606837333.247885,1606837334.249327,0,True
LL,2,1,2_M0,1606837332.767122,1606837334.7695,0,True
LL,1,2,1_M1,1606837332.33854,1606837335.339254,0,True
LL,0,1,0_M0,1606837331.479986,1606837335.483468,0,True
LL,2,2,2_M1,1606837332.818758,1606837335.819286,0,True
LL,2,2,2_M3,1606837332.922577,1606837335.923254,0,True
LL,1,1,1_M0,1606837332.28639,1606837336.287293,0,True
LL,3,3,3_R0,1606837334.343211,1606837336.345614,0,True
LL,1,1,1_M2,1606837332.3855,1606837336.389812,0,True
LL,0,1,0_R0,1606837335.582969,1606837337.585487,0,True
LL,0,1,0_R1,1606837335.583568,1606837337.585902,0,True
LL,1,1,1_R0,1606837336.604694,1606837337.605995,0,True
LL,4,1,4_M0,1606837333.997746,1606837338.000239,0,True
LL,2,2,2_R0,1606837336.017223,1606837338.01926,0,True
LL,4,1,4_M1,1606837334.049519,1606837338.051262,0,True
LL,4,2,4_M2,1606837334.101574,1606837338.104869,0,True
LL,4,1,4_R0,1606837338.472153,1606837339.473474,0,True
LL,5,1,5_M0,1606837339.227532,1606837340.229107,0,True
LL,1,2,1_R1,1606837336.604841,1606837340.607527,0,True
LL,6,2,6_M2,1606837339.619782,1606837340.621085,0,True
LL,5,1,5_M2,1606837339.330489,1606837341.331444,0,True
LL,8,2,8_M1,1606837341.044191,1606837342.045448,0,True
LL,5,1,5_M1,1606837339.279512,1606837342.282861,0,True
LL,5,2,5_M3,1606837339.382129,1606837342.383276,0,True
LL,8,2,8_M0,1606837340.991342,1606837342.991858,0,True
LL,7,1,7_M0,1606837340.105546,1606837343.107318,0,True
LL,6,1,6_M0,1606837339.536966,1606837343.53938,0,True
LL,6,1,6_M1,1606837339.568047,1606837343.5724,0,True
LL,6,3,6_M3,1606837339.671861,1606837343.675292,0,True
LL,8,1,8_R1,1606837343.090786,1606837344.092107,0,True
LL,8,2,8_R0,1606837343.090802,1606837345.09128,0,True
LL,5,2,5_R1,1606837342.482536,1606837346.483241,0,True
LL,5,1,5_R0,1606837342.482312,1606837346.486651,0,True
LL,6,1,6_R0,1606837343.789291,1606837346.791494,0,True
LL,7,1,7_R0,1606837343.181804,1606837347.183289,0,True
LL,9,1,9_M1,1606837346.943327,1606837347.944023,0,True
LL,9,2,9_M2,1606837347.12313,1606837348.124448,0,True
LL,9,1,9_M0,1606837346.870198,1606837349.87126,0,True
LL,9,1,9_R1,1606837349.970222,1606837351.972428,0,True
LL,9,1,9_R0,1606837349.969862,1606837353.974128,0,True
RANDOM,0,1,0_M0,1606896559.560532,1606896560.562114,0,True
RANDOM,0,2,0_M3,1606896559.719665,1606896561.720447,0,True
RANDOM,1,3,1_M0,1606896561.295309,1606896562.297279,0,True
RANDOM,1,3,1_M2,1606896561.395885,1606896562.397511,0,True
RANDOM,0,3,0_M2,1606896559.667378,1606896562.670938,0,True
RANDOM,0,2,0_M1,1606896559.615122,1606896563.619827,0,True
RANDOM,0,3,0_R1,1606896563.706474,1606896564.707859,0,True
RANDOM,2,2,2_M0,1606896561.794249,1606896564.796224,0,True
RANDOM,2,2,2_M1,1606896561.910278,1606896564.912077,0,True
RANDOM,1,2,1_M1,1606896561.347948,1606896565.352597,0,True
RANDOM,0,3,0_R0,1606896563.705715,1606896565.708295,0,True
RANDOM,1,2,1_R0,1606896565.453734,1606896567.456404,0,True
RANDOM,1,2,1_R1,1606896565.454584,1606896567.456076,0,True
RANDOM,2,3,2_R0,1606896564.992812,1606896567.996043,0,True
RANDOM,3,1,3_M1,1606896567.786109,1606896569.78856,0,True
RANDOM,3,2,3_M2,1606896567.83884,1606896570.842312,0,True
RANDOM,3,1,3_M0,1606896567.733362,1606896571.737826,0,True
RANDOM,4,1,4_M0,1606896568.968758,1606896572.973479,0,True
RANDOM,4,1,4_R0,1606896573.038458,1606896574.03987,0,True
RANDOM,3,2,3_R1,1606896571.777287,1606896575.781843,0,True
RANDOM,3,3,3_R0,1606896571.777215,1606896575.782191,0,True
RANDOM,4,3,4_R1,1606896573.038663,1606896577.042973,0,True
LL,0,1,0_M1,1606896936.379445,1606896937.381014,0,True
LL,0,1,0_M2,1606896936.432169,1606896939.436022,0,True
LL,0,1,0_M0,1606896936.32705,1606896940.331564,0,True
LL,5,3,5_M1,1606896939.896939,1606896940.898746,0,True
LL,1,2,1_M1,1606896938.003198,1606896941.00683,0,True
LL,3,1,3_M0,1606896938.750613,1606896941.752078,0,True
LL,1,1,1_M0,1606896937.951059,1606896941.955477,0,True
LL,0,1,0_R0,1606896940.348957,1606896942.351488,0,True
LL,2,1,2_M0,1606896938.632622,1606896942.637274,0,True
LL,2,2,2_M1,1606896938.681043,1606896942.684014,0,True
LL,5,1,5_M0,1606896939.849378,1606896942.852156,0,True
LL,5,1,5_M2,1606896939.950133,1606896942.952039,0,True
LL,1,1,1_R1,1606896942.052025,1606896943.053389,0,True
LL,4,2,4_M0,1606896939.426941,1606896943.431598,0,True
LL,3,2,3_R0,1606896941.827952,1606896943.830625,0,True
LL,3,3,3_R1,1606896941.828197,1606896943.830748,0,True
LL,7,1,7_M0,1606896943.031874,1606896944.033758,0,True
LL,1,1,1_R0,1606896942.051507,1606896944.052273,0,True
LL,6,1,6_M0,1606896942.818432,1606896944.820028,0,True
LL,8,2,8_M2,1606896943.691615,1606896945.694516,0,True
LL,2,2,2_R0,1606896942.818881,1606896945.82224,0,True
LL,6,1,6_M1,1606896942.835269,1606896945.838658,0,True
LL,7,1,7_R1,1606896944.139194,1606896946.140056,0,True
LL,4,2,4_R1,1606896943.480822,1606896946.484328,0,True
LL,8,3,8_M0,1606896943.6009,1606896946.604411,0,True
LL,8,3,8_M3,1606896943.739179,1606896946.74267,0,True
LL,6,2,6_M2,1606896942.893379,1606896946.898101,0,True
LL,7,1,7_R0,1606896944.138642,1606896947.140014,0,True
LL,5,1,5_R0,1606896943.183705,1606896947.18803,0,True
LL,9,1,9_M2,1606896946.261539,1606896947.263033,0,True
LL,4,1,4_R0,1606896943.480526,1606896947.484027,0,True
LL,8,1,8_M1,1606896943.654107,1606896947.658523,0,True
LL,9,2,9_M0,1606896946.127857,1606896948.130715,0,True
LL,9,1,9_M1,1606896946.207866,1606896948.210508,0,True
LL,8,1,8_R0,1606896947.784283,1606896950.787816,0,True
LL,6,2,6_R0,1606896946.999484,1606896951.003926,0,True
LL,9,1,9_R0,1606896948.326399,1606896951.329882,0,True
RR,0,1,0_M0,1606897051.150534,1606897052.152028,0,True
RR,1,3,1_M0,1606897052.025292,1606897054.028083,0,True
RR,1,2,1_M2,1606897052.125872,1606897054.128811,0,True
RR,0,2,0_M1,1606897051.202722,1606897054.204083,0,True
RR,2,1,2_M1,1606897053.259376,1606897054.260089,0,True
RR,1,1,1_M1,1606897052.073394,1606897055.077336,0,True
RR,2,3,2_M0,1606897053.206869,1606897056.210479,0,True
RR,3,3,3_M0,1606897054.743415,1606897056.745802,0,True
RR,1,2,1_R0,1606897055.14176,1606897057.144294,0,True
RR,0,1,0_R0,1606897054.244537,1606897057.24803,0,True
RR,2,2,2_M2,1606897053.312398,1606897057.316262,0,True
RR,2,3,2_M3,1606897053.365691,1606897057.368294,0,True
RR,3,2,3_M2,1606897054.839334,1606897057.842721,0,True
RR,3,1,3_M3,1606897054.891706,1606897057.895335,0,True
RR,5,2,5_M0,1606897057.214663,1606897058.216091,0,True
RR,0,2,0_R1,1606897054.245135,1606897058.249758,0,True
RR,5,3,5_M1,1606897057.367093,1606897058.368535,0,True
RR,4,1,4_M0,1606897055.49611,1606897058.499606,0,True
RR,3,1,3_M1,1606897054.786045,1606897058.790518,0,True
RR,3,3,3_R1,1606897058.886571,1606897059.887966,0,True
RR,6,2,6_M1,1606897059.173364,1606897060.1751,0,True
RR,5,3,5_R0,1606897058.570995,1606897060.572075,0,True
RR,2,1,2_R0,1606897057.59678,1606897060.60008,0,True
RR,2,2,2_R1,1606897057.596861,1606897061.60008,0,True
RR,4,1,4_R0,1606897058.610858,1606897061.613572,0,True
RR,7,2,7_M2,1606897060.853171,1606897061.855016,0,True
RR,3,2,3_R0,1606897058.88633,1606897061.888089,0,True
RR,6,1,6_M0,1606897059.125572,1606897062.128054,0,True
RR,8,1,8_M1,1606897061.625441,1606897063.627872,0,True
RR,7,3,7_M0,1606897060.826066,1606897063.829487,0,True
RR,7,1,7_M1,1606897060.854207,1606897063.856369,0,True
RR,9,1,9_M2,1606897064.162094,1606897065.163544,0,True
RR,6,3,6_R1,1606897062.366621,1606897065.369953,0,True
RR,8,3,8_M0,1606897061.597974,1606897065.600072,0,True
RR,6,2,6_R0,1606897062.366552,1606897066.371044,0,True
RR,7,1,7_R0,1606897063.994318,1606897066.998543,0,True
RR,9,2,9_M3,1606897064.215088,1606897067.218821,0,True
RR,9,2,9_M0,1606897064.060965,1606897068.066065,0,True
RR,9,3,9_M1,1606897064.108864,1606897068.112033,0,True
RR,9,1,9_R0,1606897068.205508,1606897069.207027,0,True
RR,8,3,8_R0,1606897065.675725,1606897069.680251,0,True
